hostelid,name,type,address1,address2,tel,homepage,checktime,petinfo,placeinfo,rating,review,theme,themenum,firstimage,latitude,longitude
343,모들공간,게스트하우스,제주 제주시 구좌읍 월정1길 66-5 모들공간,월정리 561,0507-1380-2587,http://www.instagram.com/jeju_modlespace,입실 17:00 퇴실 12:00,,,0.0,82,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230216_32%2F1676523392049fjq2M_JPEG%2FKakaoTalk_20230216_135418597_05.jpg,33.5564473463795,126.794088161207
344,하버하우스웨스트,게스트하우스,제주 제주시 애월읍 고내로7길 37-1,고내리 1190,0507-1331-6645,http://staybutmove.com,입실 04:00 퇴실 12:00,,,0.0,103,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190928_292%2F1569653168788sgf5T_JPEG%2FpggZSLWNSW3civMNYywrRPDg.jpeg.jpg,33.4659319771035,126.33682586294
345,마농독채&게스트하우스,민박,제주 제주시 애월읍 금성3길 9,금성리 551-1,010-3257-4640,http://page.yapen.co.kr/33299,미제공,,,4.94,117,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191217_181%2F1576551808671wKzKR_JPEG%2FiPsNup734IZliiDrhN8a_2pt.jpg,33.44536893119,126.30123108615
346,까사 까미노,게스트하우스,제주 제주시 조천읍 선진안길 21 까사 까미노,선흘리 1945-13,0507-1472-5884,https://www.instagram.com/casa_camino,입실 16:30 퇴실 13:00,,,0.0,23,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230226_80%2F1677410801478fm1Dk_JPEG%2F4B1DF176-30BA-4101-97FE-FCE89FE1509A.jpeg,33.4575841062969,126.704368600629
347,한또바기,민박,제주 제주시 조천읍 조천18길 65,조천리 718-1,070-8833-3461,https://blog.naver.com/hantobagi,미제공,,,0.0,15,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221116_160%2F1668568648611Mq7se_JPEG%2FKakaoTalk_20221116_120537284.jpg,33.5376184785155,126.647318079026
348,피크엔드,게스트하우스,제주 제주시 서해안로 135 2층,도두일동 2539-1,010-8323-8624,https://www.instagram.com/peak.end,입실 17:00 퇴실 11:00,,,0.0,46,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220220_23%2F1645292695571yAFwW_JPEG%2FC4EE5575-E06B-486A-ACF4-B3FC97C62E3E.JPG,33.5029887848688,126.464003313264
349,노스컨츄리,게스트하우스,제주 제주시 조천읍 북촌12길 1,북촌리 686-4,010-3265-7330,http://www.instagram.com/northcountry_jeju,입실 17:30 퇴실 13:00,,,0.0,41,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230520_300%2F1684562096631QVmFj_JPEG%2F81EF8A8E-9B9A-4832-8433-404CA938A470_-_%25BA%25B9%25BB%25E7%25BA%25BB.jpg,33.5485267265326,126.697101992561
350,에피소드카페게스트하우스,게스트하우스,제주 제주시 애월읍 하귀동남1길 19,하귀1리 189-10,064-748-2901,https://blog.naver.com/episodejeju,입실 15:00 퇴실 11:00,,,4.54,92,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200111_38%2F1578694782418ixfN5_JPEG%2Fimage.jpg,33.4854224309538,126.413314617204
351,굿나잇&굿럭,게스트하우스,제주 제주시 애월읍 애월로9길 60 1동,애월리 1820-1,0507-1350-0676,https://www.instagram.com/goodnight.luck,미제공,,,0.0,13,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230606_284%2F1686033134074jEy6F_JPEG%2F20230521_002733.jpg,33.4664640660014,126.318666325488
352,하버하우스,게스트하우스,제주 제주시 조천읍 신촌5길 58-1,신촌리 2029-1,0507-1413-7082,https://www.youtube.com/channel/UCuAZxc8scDpOKjEzmR1Bzqw,미제공,,,0.0,52,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200206_78%2F15809823352060Vrn0_JPEG%2FDSC09755-2.jpg,33.5381333624605,126.62239278421
353,낯가림,게스트하우스,제주 제주시 애월읍 애월로 130 낯가림,애월리 1639-2,010-5487-6422,http://www.instagram.com/not_garim_,미제공,,,0.0,88,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230413_153%2F1681353650955y0d2s_JPEG%2FKakaoTalk_20230413_113847761_08.jpg,33.4640820516796,126.320978013193
354,이꼬이앤스테이,게스트하우스,제주 제주시 중앙로5길 18,일도일동 1306-11,0507-1338-9408,https://www.ikkoi.co.kr/,미제공,,,0.0,24,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230608_294%2F1686188456849bWN8t_JPEG%2F2_%25C0%25CC%25B2%25BF%25C0%25CC%25BF%25A1%25BF%25D4%25BE%25EE%25BF%25E4_12.jpg,33.5150844492596,126.526621719027
355,산방댁,게스트하우스,제주 서귀포시 안덕면 사계신항로 6 산방댁게스트하우스,사계리 3591,0507-1449-2250,https://www.instagram.com/sanbangdaek,입실 17:00 퇴실 11:00,,,0.0,78,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230226_120%2F167741396550520KUx_JPEG%2FKakaoTalk_20210721_010021814_05.jpg,33.2497718594872,126.320836498225
356,제주신라호텔,5성급,제주 서귀포시 중문관광로72번길 75,색달동 3039-3,064-735-5114,http://www.shilla.net/jeju/,체크인 14:00 체크아웃 11:00,,,4.68,12691,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220330_40%2F1648629679388wzNgz_JPEG%2F%25BC%25F6%25C1%25A4-01.%25C1%25A6%25C1%25D6%25BD%25C5%25B6%25F3_%25C0%25FC%25B0%25E6.jpg,33.2471639473767,126.407955114741
357,제주신라호텔 더 파크뷰,뷔페,제주 서귀포시 중문관광로72번길 75 3층,색달동 3039-3,064-735-5334,http://www.shilla.net/jeju/dining/viewDining.do?contId=PAR#ad-image-0,미제공,,,4.77,1898,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220318_170%2F16475898256551aXFY_JPEG%2F%25C6%25C4%25C5%25A9%25BA%25E4_%25C0%25FC%25B0%25E63.jpg,33.2471639473767,126.407955114741
358,롯데호텔 제주,5성급,제주 서귀포시 중문관광로72번길 35 롯데호텔 제주,색달동 2812-4,064-731-1000,https://www.lottehotel.com/jeju-hotel/ko.html,체크인 14:00 체크아웃 11:00,,,4.58,5924,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221116_250%2F1668567475303o6VBj_JPEG%2F221018-01-2000-mai-LTJE.jpg,33.2482710924721,126.410412652417
359,롯데호텔 제주 라세느,뷔페,제주 서귀포시 중문관광로72번길 35 6F,색달동 2812-4,064-731-4266,https://www.lottehotel.com/jeju-hotel/ko/dining/restaurant-The-CANVAS.html,미제공,,,4.55,640,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220110_194%2F1641794236881jAeDS_JPEG%2F2006_%25C7%25CE%25B0%25C5_1.%25B4%25F5_%25C4%25B5%25B9%25F6%25BD%25BA_%25C0%25FC%25B0%25E6_%25C0%25D4%25B1%25B8.jpg,33.2482710924721,126.410412652417
360,그랜드 하얏트 제주,5성급,제주 제주시 노연로 12 그랜드 하얏트 제주 | 제주 드림타워 복합리조트,노형동 925,1533-1234,https://www.jejudreamtower.com/kor/,체크인 15:00 체크아웃 11:00,,,4.47,7360,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220314_59%2F164724634549413wjs_JPEG%2FDSC00483_%25B3%25D7%25C0%25DA%25B8%25AE_%25C0%25CF%25B7%25C3_%25B9%25F8%25C8%25A3.1.jpg,33.4851402486777,126.481499772471
361,그랜드 조선 제주,5성급,제주 서귀포시 중문관광로72번길 60 그랜드조선제주,색달동 2101,064-738-6600,https://gjj.josunhotel.com/main.do,체크인 15:00 체크아웃 12:00,,,4.68,3910,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_204%2F1616632749030mGMxS_JPEG%2FOAVt3xs5ngcB62D_C1b-OomF.jpg,33.2496817426147,126.406105452119
362,파르나스 호텔 제주,5성급,제주 서귀포시 중문관광로72번길 100,색달동 3039-1,064-801-5555,https://parnashoteljeju.com,체크인 15:00 체크아웃 11:00,,,0.0,1737,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220714_7%2F1657765899076K8JDS_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AFKakaoTalk_20220702_181407215.jpg,33.2454378419952,126.405583807733
363,하얏트호텔,호텔,제주 서귀포시 중문관광로72번길 100,색달동 3039-1,미제공,미제공,미제공,,,0.0,2,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMDhfMjAw%2FMDAxNjc4Mjg2MjU1Mzky.eYnRwxQ3xQrgXarp3BMjKEZOsk1Yl5cdPijyOI8eOJUg.VgJQWMmvwqOyQRUxizg41pWAnCGlbXdUSrEMfgskUGAg.JPEG.dhkdqudwls%2F1.jpg,33.2454378419952,126.405583807733
364,메종 글래드 제주,5성급,제주 제주시 노연로 80,연동 263-15,064-747-5000,https://www.glad-hotels.com/maisongladjeju/index.do,체크인 15:00 체크아웃 11:00,,,4.4,4747,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190614_262%2F1560499869370YLBrS_JPEG%2F6wMh8_5Xf55Mhf1zCSmdi4Ia.jpg,33.4848652881254,126.488557453949
365,히든 클리프 호텔&네이쳐,5성급,제주 서귀포시 예래해안로 542,상예동 596,064-752-7777,http://www.hiddencliff.kr/,체크인 15:00 체크아웃 11:00,,,4.47,6120,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220928_245%2F1664332071743WEQiR_JPEG%2F%25C0%25CE%25C7%25C7%25B4%25CF%25C6%25BC%25C7%25AE_4.jpg,33.2552622915126,126.401116377087
366,해비치호텔앤드리조트,5성급,제주 서귀포시 표선면 민속해안로 537,표선리 40-69,064-780-8100,https://www.haevichi.com/jeju/ko/,체크인 15:00 체크아웃 12:00,,,4.54,8425,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_108%2F14409868224629nUGD_JPEG%2F106774417974388_1.jpg,33.323376521592,126.844767514753
367,토스카나 호텔,5성급,제주 서귀포시 용흥로66번길 158-7 토스카나 호텔,강정동 3704,064-735-7000,https://thesiena.co.kr/content/toscana,체크인 15:00 체크아웃 11:00,,,0.0,4958,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230616_237%2F1686913664849nxmDT_JPEG%2F1.jpg,33.2654992112475,126.484365714484
368,제주부영호텔&리조트,5성급,제주 서귀포시 중문관광로 222,중문동 2700-2,064-731-5500,http://www.booyoungjejuhotel.com/,체크인 15:00 체크아웃 11:00,,,4.51,3499,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190604_128%2F1559640551043kyxDM_JPEG%2F_X7A5466-3606.jpg,33.2421503349446,126.423607529133
369,에코랜드 호텔,호텔,제주 제주시 조천읍 번영로 1278-169 에코랜드 호텔,대흘리 1221-1,064-801-6000,https://www.instagram.com/ecoland_hotel,미제공,,,0.0,1336,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230912_93%2F1694490521656oXKGE_JPEG%2F2.jpg,33.4617082765982,126.67038434988
370,호텔브릿지 서귀포,4성급,제주 서귀포시 태평로 436,서귀동 162-1,0507-1429-4200,http://www.bridge-seogwipo.com,체크인 15:00 체크아웃 11:00,,,0.0,1042,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221209_236%2F1670579905858JEeKt_PNG%2F%25C1%25A6%25B8%25F1%25C0%25BB_%25C0%25D4%25B7%25C2%25C7%25D8%25C1%25D6%25BC%25BC%25BF%25E4_-001_%25288%2529.png,33.2455931951362,126.566652188682
371,메리어트관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2vq7wy88,체크인 15:00 체크아웃 12:00,,,4.41,2632,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180514_182%2F1526286329296hSGYQ_JPEG%2FxjZhGAgxSDhxkzelRwHQKdhz.jpg,33.3068460968274,126.317477950826
372,신화관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 신화관 제주신화월드 호텔 앤 리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=2lt8s5i8,체크인 15:00 체크아웃 12:00,,,4.4,2315,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200612_273%2F1591973687359G7qW3_JPEG%2F%25BD%25BA%25C4%25AB%25C0%25CC%25C7%25AE_%25C0%25FC%25B0%25E65.jpg,33.3068460968274,126.317477950826
373,랜딩관 제주신화월드 호텔앤리조트,5성급,제주 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트,서광리 산24,1670-8800,https://jejushinhwaworld.modoo.at/?link=clddvc73,체크인 15:00 체크아웃 12:00,,,4.38,2606,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200612_283%2F1591969293770RtADN_JPEG%2F%25B7%25A3%25B5%25F9%25B0%25FC_%25B7%25CE%25BA%25F12.jpg,33.3068460968274,126.317477950826
374,제주신화월드 호텔앤리조트,호텔,제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-1188,https://www.shinhwaworld.com,미제공,,,4.35,1366,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200613_59%2F1592014527970ytOAI_JPEG%2FLandscape_Night01.jpg,33.3068460968274,126.317477950826
375,제주신화월드,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38,서광리 산24,1670-8800,https://www.shinhwaworld.com,미제공,,,4.36,7574,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200703_195%2F1593738919277yj0op_JPEG%2FSky_Pool_01.jpg,33.3068460968274,126.317477950826
376,제주신화빌라스,"콘도,리조트",제주 서귀포시 안덕면 신화역사로304번길 38 신화빌라스,서광리 산24,064-908-3000,https://www.shinhwavillas.com/,미제공,,,4.54,848,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201117_126%2F1605598407853xmjpa_JPEG%2FS1Q0wKFS0WXUVX5hPC45izUT.jpg,33.3068460968274,126.317477950826
377,서귀포칼호텔,5성급,제주 서귀포시 칠십리로 242,토평동 486-3,064-733-2001,http://seogwipo.kalhotel.co.kr,체크인 15:00 체크아웃 12:00,,,4.49,1595,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190514_202%2F1557801500996t6Yng_JPEG%2FYcIB7MxtZmJCZn-b1BOKAeNm.jpg,33.246291585581,126.581363679229
378,제주성산골든튤립호텔,4성급,제주 서귀포시 성산읍 일출로 31,고성리 329-1,064-744-7500,http://www.goldentulipjeju.co.kr/,체크인 15:00 체크아웃 11:00,,,4.15,2070,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190910_8%2F1568093025577BfPy9_JPEG%2F%25BF%25DC%25B0%25FC%25BB%25E7%25C1%25F8_%25285%2529.jpg,33.4593463975221,126.415322024739
379,WE호텔,5성급,제주 서귀포시 1100로 453-95 WE호텔,회수동 30,064-730-1200,https://wehotel.co.kr/,체크인 15:00 체크아웃 11:00,,,4.42,2087,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230407_22%2F1680833615893kGK0B_JPEG%2F1.jpg,33.2861496677769,126.44445525581
380,호텔시리우스,4성급,제주 제주시 도령로 133,연동 2334-4,064-743-1147,http://hotelsirius.co.kr,체크인 15:00 체크아웃 11:00,,,4.44,777,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201024_1%2F1603540474756ouXhp_JPEG%2F616R0dzFhwZHQrby12fOCwef.jpg,33.4934418614594,126.491053978301
381,호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,4성급,제주 제주시 서부두2길 26,건입동 1443-2,064-795-7000,http://www.whistlelark.co.kr/,체크인 15:00 체크아웃 11:00,,,4.21,2482,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170117_188%2F14846226669136Tn0q_JPEG%2F186067524126769_0.jpeg,33.5174024584584,126.52750107846
382,플레이스 캠프 제주,4성급,제주 서귀포시 성산읍 동류암로 20,고성리 297-1,064-766-3000,http://playcegroup.com/,체크인 14:00 체크아웃 11:00,,,4.41,5490,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230607_5%2F1686108427389JT4Ai_JPEG%2F%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25C4%25B7%25C7%25C1_%25C1%25A6%25C1%25D6_1.jpg,33.4499888955364,126.918286184573
383,유탑유블레스호텔제주,4성급,제주 제주시 조천읍 조함해안로 502,함덕리 1269-9,0507-1425-9307,http://ublessjeju.com/,체크인 15:00 체크아웃 11:00,,,4.34,3489,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170530_288%2F1496143146607l8iyl_JPEG%2F186480604921205_6.jpeg,33.5424154154218,126.666222590508
384,신라스테이 제주,4성급,제주 제주시 노연로 100,연동 274-16,064-717-9000,http://www.shillastay.com/jeju,체크인 15:00 체크아웃 12:00,,,4.52,1707,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221213_270%2F1670922123374OxDTR_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF%25C1%25A6%25C1%25D6%25BD%25BA%25C5%25D7%25C0%25CC%25C1%25D6%25B0%25E6.jpg,33.4855442721997,126.490899184243
385,라마다프라자 제주호텔,5성급,제주 제주시 탑동로 66,삼도이동 1255,064-729-8100,http://www.ramadajeju.co.kr/,체크인 15:00 체크아웃 12:00,,,4.42,3921,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220512_270%2F1652322189520FG66a_JPEG%2F_A_%25BA%25B8%25C1%25A42.jpg,33.5187932678584,126.518398833244
386,더 그랜드 섬오름,호텔,제주 서귀포시 막숙포로 118,법환동 1498,0507-1341-7240,http://www.sumorum.com,체크인 15:00 체크아웃 11:00,,,0.0,1044,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230718_124%2F1689646457021A4RR9_JPEG%2FIMG_2241_%25BF%25CF%25BC%25BA.jpg,33.2328497012749,126.509720811792
387,라마다제주시티홀,4성급,제주 제주시 중앙로 304,이도이동 1025-8,064-759-8831,http://www.ramadajejucity.com/,체크인 14:00 체크아웃 11:00,,,4.31,1904,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200717_100%2F1594946371151eh3iU_JPEG%2FLEE_0650.jpg,33.4935326453019,126.534313495602
388,베스트웨스턴 제주 호텔,4성급,제주 제주시 도령로 27,노형동 1295-16,064-797-6000,http://www.bestwesternjeju.com/,체크인 15:00 체크아웃 11:00,,,4.31,2094,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA5MDRfMTA0%2FMDAxNjkzNzg4OTAxMDM4.kIxXZ8PQW3v_7-_lod6ZpjNeSr3CQSqFSbA5z5yglDsg.xS5kCYiHAJLuM-9wZGB10ZpkO1V99_uBzr-En8m3sB8g.JPEG%2F20230902_201604.jpg,33.4878001190012,126.481864825168
389,퍼스트70 호텔,4성급,제주 서귀포시 명동로 46 퍼스트70 호텔,서귀동 182,064-766-0000,https://blog.naver.com/first70hotel,체크인 15:00 체크아웃 11:00,,,4.31,1256,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190211_234%2F1549882917191hTdeO_JPEG%2F5hysxZevOQ5AetBXW9BcCUmz.jpg,33.2472803990485,126.566854071948
390,노블피아 호텔,호텔,제주 서귀포시 명동로 46,서귀동 182,064-733-7377,http://www.noblepia.co.kr,체크인 15:00 체크아웃 11:00,,,4.27,773,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220812_147%2F166027716620712KxA_JPEG%2FwRg-fCy7TbtP779NIfJSXtnb.jpg,33.2472803990485,126.566854071948
391,다인오세아노 호텔,4성급,제주 제주시 애월읍 애월해안로 394,고내리 84,1811-0012,http://www.dyneoceano.com/,체크인 15:00 체크아웃 11:00,,,4.34,1492,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230629_261%2F1688019966416L4Nvu_JPEG%2F%25C4%25B8%25C3%25B31.JPG,33.4725088190749,126.350335761566
392,호텔 케니 서귀포,3성급,제주 서귀포시 동문로 42 호텔케니 서귀포,서귀동 270-9,0507-1373-5017,https://booking.naver.com/booking/3/bizes/535689,체크인 15:00 체크아웃 11:00,,,4.4,1634,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221218_257%2F1671350518975j3S05_JPEG%2F001._%25B8%25DE%25C0%25CE_%25B8%25F0%25B5%25A8_%25B0%25A1%25B7%25CE.JPG,33.2502262308781,126.565052645156
393,롯데시티호텔 제주,4성급,제주 제주시 도령로 83,연동 2324-6,064-730-1000,https://www.lottehotel.com/jeju-city/ko.html,체크인 15:00 체크아웃 12:00,,,4.52,2170,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220704_110%2F1656929174004rGOFV_JPEG%2F1.jpg,33.4906417333233,126.486603641414
394,스위트 호텔 제주,5성급,제주 서귀포시 중문관광로72번길 67 스위트호텔,색달동 2812-10,064-738-3800,http://jeju.suites.co.kr/,체크인 15:00 체크아웃 11:00,,,4.46,1755,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220207_290%2F1644213118412DT5yB_JPEG%2F%25BD%25BA%25C0%25A7%25C6%25AE%25C8%25A3%25C5%25DA_%25B8%25DE%25C0%25CE.jpg,33.2493312069879,126.408208015097
395,호텔리젠트마린제주,4성급,제주 제주시 서부두2길 20,건입동 1443,02-777-5080,http://hotelrmblue.com/,체크인 15:00 체크아웃 12:00,,,4.37,2240,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190115_122%2F1547527848252C7RzJ_JPEG%2FRMB_Exterior_night_01.jpg,33.5174367117678,126.526908675361
396,그라벨호텔,4성급,제주 제주시 일주서로 7316,외도일동 401-8,064-740-8000,https://blog.naver.com/grabelhoteljeju,체크인 15:00 체크아웃 11:00,,,4.29,1963,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180726_79%2F1532576854890XTeth_JPEG%2F%2528-05-_ASP2471.jpg,33.4924357447142,126.428703258364
397,호텔난타,4성급,제주 제주시 선돌목동길 56-26 호텔난타,오등동 10-1,0507-1446-1805,http://www.hotelnanta.com/kr/,체크인 14:00 체크아웃 11:00,,,4.49,1677,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210817_256%2F1629180677760K0bHl_JPEG%2F%25B8%25DE%25C0%25CE.jpg,33.4456543573036,126.547596144209
398,호텔 더본 제주,4성급,제주 서귀포시 색달로 18,색달동 2138,064-766-8988,http://www.hoteltheborn.com/,체크인 15:00 체크아웃 11:00,,,4.46,4786,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180516_124%2F1526457019000pENro_JPEG%2F1494488656_in2.jpg,33.2593502022602,126.406411895097
399,호텔더본 탐모라,뷔페,제주 서귀포시 색달로 18,색달동 2138,미제공,미제공,미제공,,,4.53,3805,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230721_193%2F1689916571999X7I97_JPEG%2FResized_1689831476787.jpg,33.2593502022602,126.406411895097
400,더베스트제주성산호텔,4성급,제주 서귀포시 성산읍 동류암로 26,고성리 298-5,0507-1401-0550,미제공,체크인 15:00 체크아웃 11:00,,,4.2,1635,숙소,30,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210817_85%2F1629175810782kUIty_JPEG%2F%25B0%25C7%25B9%25B0%25BF%25DC%25B0%25FC.jpg,33.4496912320246,126.917136600762
